"","IDs","treatment","groupId","playerId","winner_game","winner_training","feelings","fair","most_important","least_important","random","gender","age","religion","race","inc","pol","educ","time","profile","rounds","hand_1","hand_2","hand_3","hand_4","hand_5","hand_6","hand_7","hand_8","hand_9","winner_1","winner_2","winner_3","winner_4","winner_5","winner_6","winner_7","winner_8","winner_9"
"1",270319883,"RA2",1,1,"False","True","angry","Unfair","luck","talent",1,"Male",21,"none","white","$50,000-$75,000",1,"Some College",17.7030014992,1,7,60,79,75,85,95,74,83,NA,NA,"False","False","True","True","True","False","False",NA,NA
"2",83664946,"RA2",1,2,"True","True","indifferent","Unfair","luck","talent",1,"Male",29,"catholic","white","$0-$25,000",6,"College Degree",16.9538480322,1,7,69,88,74,84,92,98,64,NA,NA,"True","True","False","False","False","True","True}",NA,NA
"3",64049169,"RA2",2,1,"True","False","happy","Unfair","talent","luck",1,"Male",25,"other","white","$50,000-$75,000",6,"High School",16.9329633832,1,7,67,77,86,105,85,88,98,NA,NA,"False","True","True","True","True","True","True",NA,NA
"4",49612482,"RA2",2,2,"False","False","indifferent","Fair","luck","rules",1,"Male",42,"protestant","white","$25,000-$50,000",8,"Some College",14.2048835834,1,7,63,74,73,56,75,74,69,NA,NA,"True","False","False","False","False","False","False}",NA,NA
"5",427543862,"RA1",2,1,"True","False","happy","Fair","luck","talent",1,"Female",44,"catholic","white","$50,000-$75,000",2,"Graduate/Professional Degree",17.0162398815,1,6,82,79,89,80,NA,77,77,NA,NA,"True","False","True","True",NA,"True","True",NA,NA
"6",169277167,"RA1",2,2,"False","True","sad","Unfair","luck","rules",1,"Female",30,"protestant","white","$50,000-$75,000",8,"College Degree",16.9595107516,1,7,93,89,77,78,84,61,84,NA,NA,"False","True","False","False","True","False","False",NA,NA
"7",829003942,"RA1",1,2,"True","True","happy","Fair","luck","rules",1,"Female",27,"none","white","$0-$25,000",4,"High School",17.9613735318,1,7,88,91,88,81,83,78,86,NA,NA,"True","True","True","True","True","False","True",NA,NA
"8",339160810,"RA1",1,1,"False","True","sad","Unfair","luck","rules",1,"Female",53,"none","white","$25,000-$50,000",3,"Some College",18.480828166,1,7,77,81,88,65,70,73,74,NA,NA,"False","False","False","False","False","True","False",NA,NA
"9",31437311,"PR2",1,2,"True","True","happy","Unfair","rules","luck",1,"Female",33,"none","white","$0-$25,000",1,"High School",18.8000456691,1,7,94,64,105,56,86,73,97,NA,NA,"True","False","True","False","True","False","True",NA,NA
"10",628255471,"PR2",1,1,"False","True","indifferent","Unfair","luck","talent",1,"Male",25,"none","white","$0-$25,000",4,"College Degree",16.5127279321,1,7,77,112,65,108,50,101,56,NA,NA,"False","True","False","True","False","True","False}",NA,NA
"11",147137996,"PR1",2,2,"False","True","sad","Unfair","luck","talent",1,"Female",48,"protestant","white","$25,000-$50,000",6,"Some College",17.5073925853,1,7,75,99,57,105,62,94,66,NA,NA,"False","True","False","True","False","True","False",NA,NA
"12",675376023,"PR1",2,1,"True","True","happy","Fair","luck","talent",1,"Male",45,"none","white","$25,000-$50,000",6,"College Degree",19.1552213987,1,7,73,57,101,70,78,74,112,NA,NA,"True","False","True","False","True","False","True}",NA,NA
"13",111830975,"RA1",4,1,"True","False","happy","Fair","talent","luck",1,"Male",42,"none","white","$0-$25,000",5,"Some College",19.9946394523,1,7,90,59,84,97,76,106,89,NA,NA,"True","False","True","False","False","True","True",NA,NA
"14",301380832,"RA1",4,2,"False","False","sad","Unfair","luck","talent",1,"Female",32,"none","white","$25,000-$50,000",1,"College Degree",22.9513256152,1,7,67,75,78,97,86,65,68,NA,NA,"False","True","False","True","True","False","False}",NA,NA
